epoch,loss,mean_absolute_error,mean_squared_error,r2_keras
0,3378.1908543597233,23.363930255726977,3378.1908543597233,0.6343476847554611
1,2559.6548010011275,21.180073333625476,2559.6548010011275,0.7420932868139865
2,2512.0790530032377,20.822640151577932,2512.0790530032377,0.7431441102173902
3,2523.143018092899,20.646086915923227,2523.143018092899,0.740941302288997
4,2458.854905613385,20.34139870406158,2458.854905613385,0.7450666312821732
5,2414.299741471931,20.12761361068082,2414.299741471931,0.7566033641305177
6,2460.5328039947517,20.17066848210804,2460.5328039947517,0.7616850175974096
7,2376.2412207247653,19.892867373933466,2376.2412207247653,0.7553741993072882
8,2356.624999573754,19.549538980720186,2356.624999573754,0.769162606398905
9,2365.0798753138483,19.24522757779966,2365.0798753138483,0.7613632198049918
10,2288.8646430569634,18.928445697182966,2288.8646430569634,0.7752500922648522
11,2315.869946373492,18.657544246195084,2315.869946373492,0.7699020651121342
12,2303.3199390264854,18.43299567222339,2303.3199390264854,0.7753157555144415
13,2224.8458295971227,18.078612731792195,2224.8458295971227,0.7781565643720911
14,2193.6742605598197,17.729350816489482,2193.6742605598197,0.7899208839081194
15,2236.783070521492,17.749378817330566,2236.783070521492,0.7935505437972626
16,2182.679669859971,17.308581118362103,2182.679669859971,0.7849913550070016
17,2152.1750617630532,17.11955051514336,2152.1750617630532,0.8003343476616437
18,2135.7033540744665,16.975688626424876,2135.7033540744665,0.8031515159691466
19,2090.877314065241,16.891981230158656,2090.877314065241,0.8039474759311916
20,2067.2101624535194,16.868594576394784,2067.2101624535194,0.8077951936096778
21,2107.1356813654666,16.538924032534574,2107.1356813654666,0.8056069275976155
22,2167.2146586280596,17.260781858609693,2167.2146586280596,0.7930438479940449
23,2077.461695570412,16.73802340443724,2077.461695570412,0.7998419638413945
24,2091.43079582991,16.516341570593674,2091.43079582991,0.7970783821748144
25,1993.4093087908725,15.908836093731475,1993.4093087908725,0.8194814592223637
26,1987.5187008571086,15.70644026906651,1987.5187008571086,0.8161392341113494
27,2005.8540822535538,16.032874859695372,2005.8540822535538,0.8104900624718104
28,1896.5281566586061,15.673822912963654,1896.5281566586061,0.8183332651237183
29,1856.6779686054042,15.45850607697566,1856.6779686054042,0.8273414162388099
30,1903.0583785121364,15.427779527111397,1903.0583785121364,0.8213007142234483
31,1966.5791955333611,16.011890373465647,1966.5791955333611,0.8119633200345999
32,1871.7038380112854,15.52953444928403,1871.7038380112854,0.8179334150729819
33,1821.2780515807565,15.45647946577254,1821.2780515807565,0.8242322415745837
34,1723.077198951756,15.192493534267445,1723.077198951756,0.8442084633500353
35,1959.759542720855,16.091063891499715,1959.759542720855,0.816147286549967
36,1726.843596674376,14.835792698784601,1726.843596674376,0.8356131236302798
37,1692.9927321358966,14.734470364357751,1692.9927321358966,0.8423692196119289
38,1648.5137618457059,14.654013066339198,1648.5137618457059,0.8400354512654227
39,1665.2027109593369,14.703208006296048,1665.2027109593369,0.846032553003451
40,1619.2589560525892,14.44537916114309,1619.2589560525892,0.8473127132105053
41,1597.2943193598073,14.494097207330935,1597.2943193598073,0.8538274326184857
42,1572.5017891186333,14.273714256132926,1572.5017891186333,0.8549560253382562
43,1819.8640804203678,15.816125305436037,1819.8640804203678,0.8328931062669163
44,1874.2531285148905,15.86911359731145,1874.2531285148905,0.8295003811326234
45,1657.940737416659,15.38085535896295,1657.940737416659,0.8392851546730945
46,1558.3626793372896,14.747763489383285,1558.3626793372896,0.8520155576746405
47,1647.8106227058126,14.398825784284135,1647.8106227058126,0.8445125403757733
48,1494.9449892354019,14.052360974618448,1494.9449892354019,0.86452162733265
49,1550.123299815147,14.190864437214955,1550.123299815147,0.8528473175663862
50,1410.4435233321844,13.825708709222924,1410.4435233321844,0.8647276656204355
51,1363.2985297753035,13.575971277433155,1363.2985297753035,0.8756977079569765
52,1388.6284151817565,13.608184547024711,1388.6284151817565,0.8718520552600355
53,1388.2554332437037,13.909737636029256,1388.2554332437037,0.8596522790143927
54,1366.7480610066962,13.517653848482594,1366.7480610066962,0.8708632154199598
55,1381.8902015716774,13.517246807322783,1381.8902015716774,0.8679532748122962
56,1386.464302745392,13.573112948876442,1386.464302745392,0.8696581817364905
57,1276.1540765385778,13.27897424746546,1276.1540765385778,0.874652224572602
58,1346.5877343607372,13.461059117297989,1346.5877343607372,0.8699852372413357
59,1519.645018072177,14.005132036314132,1519.645018072177,0.8571306146058926
60,1223.391169496547,12.926559071946842,1223.391169496547,0.8738700383586202
61,1303.5264267287457,13.15129418107985,1303.5264267287457,0.8734161674960339
62,1192.6955866417895,12.734710150817822,1192.6955866417895,0.8855913028805416
63,1212.278815249746,12.700155722336074,1212.278815249746,0.8814265743046078
64,1202.2781120954007,12.752594756721457,1202.2781120954007,0.8840391466990933
65,1121.7398704346424,12.485630632759646,1121.7398704346424,0.8903865119862102
66,1288.9391815734748,13.071034104856727,1288.9391815734748,0.8800129488915037
67,1120.740484351917,12.626437361638072,1120.740484351917,0.8917037345150802
68,1554.5162728776095,13.62357621573326,1554.5162728776095,0.8595978013296586
69,1227.1974449106483,12.807102333497143,1227.1974449106483,0.8895976707367304
70,1072.5823005391424,12.488576219954735,1072.5823005391424,0.9031448357853875
71,1273.6686809108426,12.63846723654883,1273.6686809108426,0.8766828496994717
72,1106.3840186554291,12.795935932936093,1106.3840186554291,0.8929946484534996
73,1036.3769943725028,12.33651258431229,1036.3769943725028,0.8978117695586066
74,1149.0784215033134,12.347695261760325,1149.0784215033134,0.8924755564051036
75,1214.4897843575304,12.49451856487642,1214.4897843575304,0.8859848495679872
